family_code,workbook_role,worksheet_name,section_code,field_code,field_name,display_order,source_cell,source_sequence,extraction_strategy,confidence,source_profile
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,SERIES_001,Series,1,C14,1,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,SIZE_002,Size,2,C15,2,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,PUMP_MATERIAL_003,Pump Material,3,C16,3,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,CASING_MATERIAL_004,Casing Material,4,C17,4,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,CASING_DRAIN_005,Casing Drain,5,C18,5,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,CASING_TAPS_006,Casing Taps,6,C19,6,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,CASING_GASKET_007,Casing Gasket,7,C20,7,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,FLANGE_CONFIGURATION_008,Flange Configuration,8,C21,8,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,SPOT_FACING_009,Spot Facing,9,C22,9,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,CASING_WEAR_RINGS_010,Casing Wear Rings,10,C23,10,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,TACK_WELD_WEAR_RINGS_011,Tack weld Wear Rings,11,C24,11,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,CASING_MOUNTING_012,Casing Mounting,12,C25,12,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,SEAL_CHAMBER_CONFIG_013,Seal Chamber Config,13,C26,13,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,SHIPPING_GASKET_014,Shipping Gasket,14,C27,14,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,PUMP_INFORMATION,CASING_HEAT_JACKET_015,Casing Heat Jacket,15,C28,15,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,IMPELLER,IMPELLER_TRIM_016,Impeller Trim,16,C31,16,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,IMPELLER,IMPELLER_BALANCE_017,Impeller Balance,17,C32,17,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,IMPELLER,IMPELLER_MATERIAL_018,Impeller Material,18,C33,18,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,IMPELLER,IMP_WEAR_RING_MAT_019,Imp. Wear Ring Mat.,19,C34,19,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,POWER_FRAME,SHAFT_CONFIGURATION_020,Shaft Configuration,20,C36,20,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
DEAN,configuration_and_quote,Data Sheet,POWER_FRAME,SHAFT_MATERIAL_021,Shaft Material,21,C37,21,numbered_column_pairs,high,C:\Users\makorede\Downloads\Combine_partnumbering\config\compiler_profiles\dean_configuration.json
