workbook,family_code,name,refers_to,local_sheet_id,hidden
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.ARRAYTOTEXT,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.BASE,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.CHOOSECOLS,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.CHOOSEROWS,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.CODE,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.COLUMN,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.FIND,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.FREQUENCY,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.IF,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.IFERROR,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.ISBLANK,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.ISNUMBER,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.LEN,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.MATCH,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.MIN,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.NOT,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.SEARCH,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.SHEET,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.SUBSTITUTE,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.T,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.TEXTJOIN,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xleta.TYPE,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xlpm.ar,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xlpm.arr,#NAME?,,True
Dean Data Sheet Rev 2.xlsm,DEAN,_xlpm.arrr,#NAME?,,True
