family_code,workbook_role,workbook_name,worksheet_name,field_code,field_name,display_value,identifier_code,display_order,source_display_cell,source_code_cell,source_profile
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,Series,Code,10,F22,H22,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,1500,A,20,F23,H23,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,1530,B,30,F24,H24,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,1600,C,40,F25,H25,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,1630,D,50,F26,H26,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,2530,E,60,F27,H27,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,3000,F,70,F28,H28,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,5500,G,80,F29,H29,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,5530,H,90,F30,H30,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,6000,Q,100,F39,H39,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,7500,R,110,F40,H40,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,7530,S,120,F41,H41,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SERIES,Series,8500,T,130,F42,H42,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SIZE,Size,1x1.5x6,1,10,J8,K8,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SIZE,Size,1x1.5x8,2,20,J9,K9,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SIZE,Size,1x2x10,3,30,J10,K10,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SIZE,Size,1.5x3x10,4,40,J11,K11,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SIZE,Size,1.5x3x6,5,50,J12,K12,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Attributes,SIZE,Size,1.5x3x8,6,60,J13,K13,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\attribute_profiles\fybroc_attributes.json
