family_code,workbook_role,workbook_name,input_worksheet,input_range,field_code,field_name,defined_name,source_worksheet,source_range,option_code,option_description,source_cell,display_order,confidence,source_profile
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F8:F13,SERIES,Series (Horizontal),Series_Horizontal,Attributes,F8:F13,1500,1500,F8,10,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F8:F13,SERIES,Series (Horizontal),Series_Horizontal,Attributes,F8:F13,1530,1530,F9,20,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F8:F13,SERIES,Series (Horizontal),Series_Horizontal,Attributes,F8:F13,1600,1600,F10,30,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F8:F13,SERIES,Series (Horizontal),Series_Horizontal,Attributes,F8:F13,1630,1630,F11,40,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F8:F13,SERIES,Series (Horizontal),Series_Horizontal,Attributes,F8:F13,2530,2530,F12,50,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F8:F13,SERIES,Series (Horizontal),Series_Horizontal,Attributes,F8:F13,3000,3000,F13,60,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F15:F20,SERIES_VERTICAL,Series (Vertical),Series_Vertical,Attributes,F15:F20,5500,5500,F15,10,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F15:F20,SERIES_VERTICAL,Series (Vertical),Series_Vertical,Attributes,F15:F20,5530,5530,F16,20,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F15:F20,SERIES_VERTICAL,Series (Vertical),Series_Vertical,Attributes,F15:F20,6000,6000,F17,30,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
FYBROC,configuration_and_hex_mapping,Nomenclature_V6.xlsm,Smart Number,Attributes!F15:F20,SERIES_VERTICAL,Series (Vertical),Series_Vertical,Attributes,F15:F20,7500,7500,F18,40,high,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\option_profiles\fybroc_defined_names.json
