family_code,dependency_code,target_field_code,target_display_value,target_identifier_code,series_code,context_json,source_workbook,source_worksheet,source_reference
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,4.000,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,4.125,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,4.250,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,4.375,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,4.500,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,4.625,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,4.750,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,4.875,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,5.000,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,5.125,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,5.250,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,5.375,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,5.500,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,5.625,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,5.750,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
FYBROC,SERIES_SIZE_IMPELLER_TRIM,IMPELLER_TRIM,5.875,,1500,"{""SIZE"":""1x1.5x6""}",Fybroc Attributes and Constraints.xlsx,1500,1500:1x1.5x6
