family_code,source_field_code,field_code,option_value,series_code,selection_marker,is_standard,workbook_name,worksheet_name,source_row,source_field_cell,source_value_cell,source_series_cell,source_profile
FYBROC,Alt Size,SIZE,1x1.5x6,1500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,2,B2,C2,D2,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1x1.5x6,1530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,2,B2,C2,E2,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1x1.5x6,2530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,2,B2,C2,H2,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1x1.5x6,5500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,2,B2,C2,J2,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1x1.5x6,5530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,2,B2,C2,K2,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1x1.5x6,7500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,2,B2,C2,L2,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1.5x3x6,1500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,3,B3,C3,D3,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1.5x3x6,1530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,3,B3,C3,E3,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1.5x3x6,2530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,3,B3,C3,H3,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1.5x3x6,5500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,3,B3,C3,J3,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1.5x3x6,5530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,3,B3,C3,K3,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1.5x3x6,7500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,3,B3,C3,L3,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,1500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,D4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,1530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,E4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,1600,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,F4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,1630,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,G4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,2530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,H4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,3000,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,I4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,5500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,J4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,5530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,K4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,2x3x6,7500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,4,B4,C4,L4,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1x1.5x8,1500,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,5,B5,C5,D5,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1x1.5x8,1530,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,5,B5,C5,E5,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
FYBROC,Alt Size,SIZE,1x1.5x8,1600,X,False,Fybroc Configuration Rev0.3.xlsx,Selections,5,B5,C5,F5,C:\Users\makorede\Downloads\Combine_partnumbering - Claude\config\constraint_profiles\fybroc_series_field_options.json
