family_code,workbook_role,workbook_name,name,scope,refers_to,resolved_sheet,resolved_range,row_count,column_count
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.ARRAYTOTEXT,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.BASE,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.CHOOSECOLS,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.CHOOSEROWS,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.CODE,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.COLUMN,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.FIND,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.FREQUENCY,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.IF,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.IFERROR,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.ISBLANK,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.ISNUMBER,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.LEN,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.MATCH,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.MIN,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.NOT,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.SEARCH,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.SHEET,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.SUBSTITUTE,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.T,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.TEXTJOIN,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xleta.TYPE,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xlpm.ar,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xlpm.arr,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xlpm.arrr,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xlpm.r,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xlpm.x,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,_xlpm.y,workbook,#NAME?,,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,BasePlate_Type,workbook,Pricing!$R$3:$R$1070,Pricing,$R$3:$R$1070,1068,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,BaseplateType_Table,workbook,Constraints!$GX$3:$HC$40,Constraints,$GX$3:$HC$40,38,6
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Bearing_Frame_Cooling_Table,workbook,Constraints!$GS$3:$GV$40,Constraints,$GS$3:$GV$40,38,4
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Casing_Heat_Jacket,workbook,Pricing!$M$3:$M$163,Pricing,$M$3:$M$163,161,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,CasingDrain_Table,workbook,Constraints!$BR$3:$BY$40,Constraints,$BR$3:$BY$40,38,8
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,CasingGasket_Table,workbook,Constraints!$CG$3:$CJ$40,Constraints,$CG$3:$CJ$40,38,4
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,CasingMaterial_Table,workbook,Constraints!$BH$3:$BP$40,Constraints,$BH$3:$BP$40,38,9
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,CasingMounting_Table,workbook,Constraints!$DD$3:$DH$40,Constraints,$DD$3:$DH$40,38,5
