family_code,workbook_role,workbook_name,worksheet_name,target_range,validation_type,formula1,formula2,allow_blank,source_kind,resolved_source
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Data Sheet,G24:H24 G41:H41 G42:H42 G43:H43,,,,True,none,
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,MAIN,P1,list,$E$2:$O$2,,True,formula_or_expression,$E$2:$O$2
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,FULL LIST,S465:S467 T465:T470,list,"INDEX(INDIRECT(Q$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(Q$2),0,2)"
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,FULL LIST,W465:W467,list,"INDEX(INDIRECT(T$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(T$2),0,2)"
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,FULL LIST,AG465:AG467,list,"INDEX(INDIRECT(S$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(S$2),0,2)"
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,FULL LIST,V465:V467,list,"INDEX(INDIRECT(P$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(P$2),0,2)"
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,1500,AN3:AN5,list,"INDEX(INDIRECT(AN$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(AN$2),0,2)"
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,5500,V3:V5,list,"INDEX(INDIRECT(P$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(P$2),0,2)"
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,5500,AG3:AG5,list,"INDEX(INDIRECT(S$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(S$2),0,2)"
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,5500,W3:W5,list,"INDEX(INDIRECT(T$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(T$2),0,2)"
FYBROC,attributes_and_constraints,Fybroc Attributes and Constraints.xlsx,5500,S3:S5 T3:T8,list,"INDEX(INDIRECT(Q$2),0,2)",,True,formula_driven,"INDEX(INDIRECT(Q$2),0,2)"
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L14:M14,list,Casing_Drains,,True,defined_name,Casing_Drains
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L15:M15,list,Suction_Discharge,,True,defined_name,Suction_Discharge
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L17:M17,list,Impeller_Sleeve,,True,defined_name,Impeller_Sleeve
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L18:M18,list,Casing_Hardware,,True,defined_name,Casing_Hardware
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L19:M19,list,Pump_Elastomers,,True,defined_name,Pump_Elastomers
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L20:M20,list,Bearing_Option,,True,defined_name,Bearing_Option
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L21:M21,list,Power_Frame_Hardware,,True,defined_name,Power_Frame_Hardware
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L22:M22,list,Gland_Hardware,,True,defined_name,Gland_Hardware
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L23:M23,list,Flush,,True,defined_name,Flush
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L24:M24,list,CycloneSep,,True,defined_name,CycloneSep
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L25:M25,list,Dynamic_Impeller,,True,defined_name,Dynamic_Impeller
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,O14,list,Seal_Option,,True,defined_name,Seal_Option
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,O15,list,Seal_Type,,True,defined_name,Seal_Type
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,O16,list,Seal_Materials,,True,defined_name,Seal_Materials
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,O17,list,Seal_Elastomers,,True,defined_name,Seal_Elastomers
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,V14:W16,list,Motor_Modifications,,True,defined_name,Motor_Modifications
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,Y14,list,Testing,,True,defined_name,Testing
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,L16:M16,list,Shaft_Material,,True,defined_name,Shaft_Material
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,Q14,list,Coupling_Option,,True,defined_name,Coupling_Option
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,Q15,list,Coupling_Guard,,True,defined_name,Coupling_Guard
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,Q16,list,Baseplate_Option,,True,defined_name,Baseplate_Option
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,Q17,list,BaseplateHardware,,True,defined_name,BaseplateHardware
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,Q18,list,NamePlate2,,True,defined_name,NamePlate2
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S14:T14,list,Motor_Option,,True,defined_name,Motor_Option
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S15:T15,list,Motor_Class,,True,defined_name,Motor_Class
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S16:T16,list,Motor_Orientation,,True,defined_name,Motor_Orientation
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S17:T17,list,Horsepower_Mtr,,True,defined_name,Horsepower_Mtr
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S18:T18,list,RPM,,True,defined_name,RPM
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S19:T19,list,Voltage,,True,defined_name,Voltage
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S20:T20,list,Hertz,,True,defined_name,Hertz
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S21:T21,list,Frame_Code_Mtr,,True,defined_name,Frame_Code_Mtr
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S22:T22,list,Enclosure,,True,defined_name,Enclosure
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S23:T23,list,Efficiency,,True,defined_name,Efficiency
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,S24:T24,list,Motor_Manufacturer,,True,defined_name,Motor_Manufacturer
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,O18,list,Seal_Guard,,True,defined_name,Seal_Guard
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Smart Number,H14:I14,list,ValidTrim,,True,defined_name,ValidTrim
FYBROC,pricing_and_quote,Price Estimator-Fybroc.xlsm,Nameplate,L11,list,$R$11:$FO$11,,True,formula_or_expression,$R$11:$FO$11
