workbook,family_code,sheet_name,sheet_state,sheet_index,xml_path,dimension_reference,formula_count,formula_samples,merged_range_count,merged_range_samples,validation_count,validation_samples,table_relationship_count
Dean Data Sheet Rev 2.xlsm,DEAN,Data Sheet,visible,1,xl/worksheets/sheet1.xml,B1:Z113,8,"[""IFERROR(VLOOKUP(H14,'Config Info'!FA5:FH104,2,FALSE),\""-\"")"", ""IF(H14=\""N/A\"",\""N/A\"",IFERROR(VLOOKUP($H$14,'Config Info'!$FA$6:$FC$104,3),\""-\""))"", ""IFERROR(VLOOKUP(H19,'Config Info'!FK5:FN22,2,FALSE),\""-\"")"", ""IF(H19=\""N/A\"", \""N/A\"", IFERROR(VLOOKUP(H19,'Config Info'!FK6:FM22,3),\""-\""))"", ""IF(OR(D14=\""\"",D15=\""\""),\""Select a pump series and size…\"",_xlfn.CONCAT(TEXT(INDEX(_xlfn.ANCHORARRAY(Logic!BE2),1),\""0.000\"")&\""-\"",TEXT(INDEX(_xlfn.ANCHORARRAY(Logic!BE2),ROWS(_xlfn.ANCHORARRAY(Logic!BE2))-1),\""0.000\"")))"", ""VLOOKUP(D52,'Seal Descriptions'!B3:D29,3,FALSE)"", ""IF(ISNUMBER(SEARCH(\""Type 9\"",D52)),\""Inboard Hardware / Elastomers\"", \""Inboard Seal Elastomers\"")"", ""IF(ISNUMBER(SEARCH(\""Type 9\"",D52)),\""Outboard Hardware / Elastomers\"", \""Outboard Seal Elastomers\"")""]",86,"[""I14:I18"", ""I19:I23"", ""I29:I30"", ""C48:D48"", ""G25:H25"", ""G27:H27"", ""G26:H26"", ""G24:H24"", ""G16:H18"", ""G20:H20"", ""C45:D45"", ""G64:H64"", ""G65:H65"", ""F56:H56"", ""F46:H46"", ""G47:H47"", ""G48:H48"", ""G49:H49"", ""G50:H50"", ""G51:H51""]",1,"[""{\""type\"":null,\""sqref\"":\""G43:H43 G42:H42 G41:H41 G24:H24\"",\""operator\"":null,\""allowBlank\"":\""1\""}""]",0
Dean Data Sheet Rev 2.xlsm,DEAN,Formal Quote,visible,2,xl/worksheets/sheet2.xml,B1:S98,108,"[""TODAY()"", ""IF('Data Sheet'!D9=\""\"",\""Not Provided\"",'Data Sheet'!D9)"", ""IF('Data Sheet'!G9=\""\"",\""Not Provided\"",'Data Sheet'!G9)"", ""IF('Data Sheet'!G10=\""\"",\""Not Provided\"",'Data Sheet'!G10)"", ""IF('Data Sheet'!D11=\""\"",\""Not Provided\"",'Data Sheet'!D11)"", ""('Data Sheet'!D8)"", ""'Data Sheet'!D14"", ""_xlfn.CHOOSECOLS(_xlfn.TEXTSPLIT(C21,\""x\""),1)&\""\""\""\"""", ""G20*(1-H20)"", ""F20*I20"", ""_xlfn._xlws.FILTER(_xlfn.CHOOSECOLS(Table84[],MATCH(C22,Table84[#Headers],0)),(Table84[Series]=C20)*(Table84[Size]=C21),\""NO DATA\"")"", ""'Data Sheet'!D15"", ""_xlfn.CHOOSECOLS(_xlfn.TEXTSPLIT(C21,\""x\""),2)&\""\""\""\"""", """", ""('Data Sheet'!D16)"", ""'Data Sheet'!D21"", """", ""('Data Sheet'!D36)"", ""'Data Sheet'!D31"", """"]",120,"[""J32:J33"", ""H15:J15"", ""C36:E36"", ""C37:E37"", ""B18:B19"", ""C18:C19"", ""D18:D19"", ""E18:E19"", ""C24:E24"", ""C31:E31"", ""C30:E30"", ""C32:E32"", ""C33:E33"", ""I20:I23"", ""J20:J23"", ""F18:F19"", ""J18:J19"", ""B15:C15"", ""E15:G15"", ""F20:F23""]",0,[],0
Dean Data Sheet Rev 2.xlsm,DEAN,Smart Number,visible,3,xl/worksheets/sheet3.xml,B4:AK43,94,"[""\""D\""&C12&\""-\""&D12&\""-\""&H12&I12&\""-\""&K12&\""-\""&O12&\""-\""&Q12&S12&U12&\""-\""&W12&X12&\""-\""&Z12&AB12&\""-\""&AD12"", ""LEN(B5)"", ""\""-\""&AH12&AJ12"", ""IFERROR(\""PUMP, \""&B13&\"", \""&VLOOKUP(C13,A_Table[],2,FALSE)&\"", \""&VLOOKUP(C13,A_Table[],3,FALSE)&\"", \""&H13&\"" TRIM, \"",\""INVALID CONFIGURATION\"")"", ""RIGHT(C13,LEN(C13)-1)"", ""IF(COUNTIFS(F13:G25,\""Custom\"")>0,\""____\"",_xlfn._xlws.FILTER(Table100[Base-36 Code],(Table100[Pump Material Class]=F13)*(Table100[Casing Material]=F14)*(Table100[Flange Style]=F15)*(Table100[Casing Taps]=F16)*(Table100[Drain Options]=F17)*(Table100[Casing Mount]=F18)*(Table100[Casing Gasket]=F19)*(Table100[Shipping Gasket]=F20)*(Table100[Casing Wear Ring]=F21)*(Table100[Tack weld wear rings]=F22)*(Table100[Seal Chamber Config]=F23)*(Table100[Spot-Facing]=F24),\""ERR\""))"", ""IFERROR(VLOOKUP(LEFT(H13,FIND(\"".\"",H13)-1)&\""\""\""\"",B31:C43,2,FALSE)&VLOOKUP(RIGHT(H13,LEN(H13)-FIND(\"".\"",H13)+1),E34:F41,2,FALSE),\""ERR\"")"", ""IF(COUNTIFS(J13:J16,\""Custom\"")>0,\""__\"",_xlfn._xlws.FILTER(Table106[Base-36 Code],(Table106[Impeller Balance]=J13)*(Table106[Impeller Material]=J14)*(Table106[Imp. Wear Ring Material]=J15)*(Table106[Balance Holes]=J16),\""ERR\""))"", ""_xlfn._xlws.FILTER(Table101[Base-36 Code],(Table101[Shaft Configuration]=M13)*(Table101[Shaft Material]=M14)*(Table101[Lubrication Options]=M15)*(Table101[Oiler Options]=M16)*(Table101[Oil Seal]=M17)*(Table101[Sight Glass]=M18)*(Table101[Magnetic Drain]=M19)*(Table101[Expansion Chamber]=M20)*(Table101[Bearing Frame Cooling]=M21)*(Table101[Coupling Guard]=M22)*(Table101[Coupling Type]=M23),\""ERR\"")"", ""IF('Data Sheet'!D49<>\""Included\"",\""00000\"",\""TBD__\"")"", ""_xlfn.CHOOSEROWS(_xlfn._xlws.FILTER('Config Info'!FH5:FH104, IF((R13<>\""Plan 21\"")*(R13<>\""Plan 22\"")*(R13<>\""Plan 23\""),'Config Info'!FA5:FA104='Smart Number'!R14, ('Config Info'!FA5:FA104='Smart Number'!R14)*('Config Info'!FG5:FG104>=--_xlfn.TEXTJOIN(\""\"", TRUE, IFERROR(MID('Data Sheet'!D11, _xlfn.SEQUENCE(LEN('Data Sheet'!D11)), 1) * 1, \""\"")))),\""ERR\""),1)"", ""IFERROR(VLOOKUP(T14,Table76[Code]:Table76[Base-36 Code],4,FALSE),\""ERR\"")"", ""_xlfn._xlws.FILTER(Table104[Base-36 Code],(Table104[Cooling Plan]=V13)*(Table104[Cooling Plan Piping]=V14)*(Table104[Cooling Plan Extras]=V15),\""ERR\"")"", ""IF((Y13<>\""NONE\"")+(M23<>\""NONE\"")+(W13<>0), IFERROR(_xlfn.BASE(MATCH(W13,Table2486[Motor Frame Size],0),36,2),\""ERR\""), \""00\"")"", ""IF(Y13<>\""NONE\"",_xlfn._xlws.FILTER(Table124[Base-36 Code],(Table124[Baseplate Type]=Y13)*(Table124[Drip Pan]=Y14)*(Table124[Alignment Lugs]=Y15)*(Table124[Lifting Lugs]=Y16)*(Table124[Levelling Screws]=Y17)*(Table124[Grounding Lug]=Y18)*(Table124[Grout Hole]=Y19)*(Table124[Isolation Pads]=Y20)*(Table124[Stilts]=Y21),\""ERR\""),\""000\"")"", ""IF(AA13<>\""Included\"", \""0000\"", _xlfn._xlws.FILTER(Table110[Base-36 Code], (Table110[Motor]=AA13)*(Table110[Motor Control]=AA14)*(Table110[Rated Power]=AA15)*(Table110[Rated Speed]=AA16)*(Table110[Voltage]=AA17)*(Table110[Phase/Frequency]=AA18)*(Table110[Enclosure]=AA19)*(Table110[Efficiency]=AA20)*(Table110[Brand]=AA22),\""ERR\""))"", ""_xlfn._xlws.FILTER(Table105[Base-36 Code],(Table105[Shipping Gasket]=AE13)*(Table105[Auxillary Nameplate]=AE14)*(Table105[Crating]=AE15)*(Table105[Paint Options]=AE16)*(Table105[Coating]=AE17),\""ERR\"")"", ""_xlfn._xlws.FILTER(Table108[Base-36 Code],(Table108[Performance Testing]=AI13)*(Table108[Hydrotest]=AI14)*(Table108[Vibration]=AI15)*(Table108[Sound Level]=AI16)*(Table108[General Inspection]=AI17),\""ERR\"")"", ""_xlfn._xlws.FILTER(DocumentationNumbering[Base-36 Code],(DocumentationNumbering[Document 1]=AK13)*(DocumentationNumbering[Document 2]=AK14)*(DocumentationNumbering[Document 3]=AK15)*(DocumentationNumbering[Document 4]=AK16),\""ERR\"")"", ""_xlfn._xlws.FILTER(A_Table[A'#],(A_Table[Series]='Data Sheet'!D14)*(A_Table[Size]='Data Sheet'!D15),\""0000\"")""]",74,"[""D19:E19"", ""F19:G19"", ""F20:G20"", ""K14:L14"", ""M14:N14"", ""K18:L18"", ""K19:L19"", ""K20:L20"", ""D14:E14"", ""D15:E15"", ""D16:E16"", ""D18:E18"", ""K15:L15"", ""AJ12:AK12"", ""AJ11:AK11"", ""AB11:AC11"", ""B10:P10"", ""Q11:R11"", ""Q12:R12"", ""S11:T11""]",0,[],0
Dean Data Sheet Rev 2.xlsm,DEAN,Wet End Numbering,hidden,4,xl/worksheets/sheet4.xml,B2:AO146460,101983,"[""Table88[Pump Material]"", ""Table6[Casing Material]"", ""Table10[Flange Style]"", ""Table91[Casing Taps]"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(PumpMaterial_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(CasingMaterial_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(FlangeConfig_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(CasingTaps_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(CasingDrain_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(CasingMounting_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(CasingGasket_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(ShippingGasket_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(CasingRings_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(TackWeldRings_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(SealChamberConfig_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(SpotFacing_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(ImpellerMaterial_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(ImpellerBalance_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(ImpellerRing_Table,1,1)),4),\""1\"",\""\"")"", ""\"":\""&SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(PumpMaterial_Table,1,COLUMNS(PumpMaterial_Table))),4),\""1\"",\""\"")""]",0,[],0,[],10
Dean Data Sheet Rev 2.xlsm,DEAN,Power End Numbering,hidden,5,xl/worksheets/sheet5.xml,B1:AA475,492,"[""Table27[#Headers]"", ""Table89[Shaft Configuration]"", ""Table46[Lubrication Options]"", ""Table47[Oiler Options]"", ""Table48[Oil Seal]"", ""Table50[Magnetic Drain]"", ""Table5052[Expansion Chamber]"", ""Table45[]"", ""Table28[Coupling Guard]"", ""Table27[]"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(ShaftConfig_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(ShaftMaterial_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(Lubrication_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(Oiler_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(OilSeal_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(SightGlass_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(MagDrain_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(ExpansionChamber_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(Bearing_Frame_Cooling_Table,1,1)),4),\""1\"",\""\"")"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(CouplingGuard_Table,1,1)),4),\""1\"",\""\"")""]",0,[],0,[],1
Dean Data Sheet Rev 2.xlsm,DEAN,Constraints,visible,6,xl/worksheets/sheet6.xml,B1:HN2892,36,"[""Table46[[#Headers],[Lubrication Options]]"", ""Table47[[#Headers],[Oiler Options]]"", ""Table48[[#Headers],[Oil Seal]]"", ""Table49[[#Headers],[Sight Glass]]"", ""Table50[[#Headers],[Magnetic Drain]]"", ""Table5052[[#Headers],[Expansion Chamber]]"", ""Table45[[#Headers],[Bearing Frame Cooling]]"", ""Table28[[#Headers],[Coupling Guard]]"", ""TRANSPOSE(Table87[Size])"", ""TRANSPOSE(Table88[Pump Material])"", ""TRANSPOSE(Table6[Casing Material])"", ""TRANSPOSE(Table7[Casing Drain])"", ""TRANSPOSE(Table91[Casing Taps])"", ""TRANSPOSE(Table9[Casing Gasket])"", ""TRANSPOSE(Table10[Flange Style])"", ""TRANSPOSE(Table12[Casing Wear Ring])"", ""TRANSPOSE(Table14[Casing Mounting])"", ""TRANSPOSE(Table16[Seal Chamber Config])"", ""TRANSPOSE(Table21[Cradle Material])"", ""TRANSPOSE(Table116[Impeller Balance])""]",29,"[""BR2:BY2"", ""DX2:EB2"", ""DU2:DV2"", ""CT2:CU2"", ""CW2:DB2"", ""CL2:CR2"", ""CG2:CJ2"", ""GJ2:GK2"", ""FS2:FV2"", ""FX2:GC2"", ""DK2:DS2"", ""EG2:EN2"", ""EP2:EU2"", ""HJ2:HM2"", ""EW2:EX2"", ""HE2:HH2"", ""AX2:BF2"", ""CA2:CE2"", ""GE2:GH2"", ""ED2:EE2""]",0,[],0
Dean Data Sheet Rev 2.xlsm,DEAN,Config Info,visible,7,xl/worksheets/sheet7.xml,B4:GA104,139,"[""_xlfn.BASE(ROW(Table75[[#This Row],[Flush Plan]])-5,36,2)"", ""_xlfn.BASE(ROW(Table76[[#This Row],[Barrier Plan]])-5,36,1)"", ""NA()"", ""_xlfn.BASE(ROW(Table75[[#This Row],[Flush Plan]])-5,36,2)"", ""NA()"", ""_xlfn.BASE(ROW(Table76[[#This Row],[Barrier Plan]])-5,36,1)"", ""NA()"", ""_xlfn.BASE(ROW(Table75[[#This Row],[Flush Plan]])-5,36,2)"", ""NA()"", ""_xlfn.BASE(ROW(Table76[[#This Row],[Barrier Plan]])-5,36,1)"", ""NA()"", ""_xlfn.BASE(ROW(Table75[[#This Row],[Flush Plan]])-5,36,2)"", ""NA()"", ""_xlfn.BASE(ROW(Table76[[#This Row],[Barrier Plan]])-5,36,1)"", ""NA()"", ""_xlfn.BASE(ROW(Table75[[#This Row],[Flush Plan]])-5,36,2)"", ""NA()"", ""_xlfn.BASE(ROW(Table76[[#This Row],[Barrier Plan]])-5,36,1)"", ""_xlfn.BASE(ROW(Table75[[#This Row],[Flush Plan]])-5,36,2)"", ""NA()""]",1,"[""EX25:EY25""]",0,[],84
Dean Data Sheet Rev 2.xlsm,DEAN,Logic,visible,8,xl/worksheets/sheet8.xml,B1:BR91,73,"[""IF(ISNUMBER(SEARCH(\""Type 9\"",S2)),\""Inboard Hardware / Elastomers\"", \""Inboard Seal Elastomers\"")"", ""_xlfn._xlws.FILTER(SeriesOptions,IF('Data Sheet'!D15<>\""\"",_xlfn.DROP(_xlfn.CHOOSECOLS(Size_Table,MATCH('Data Sheet'!D15,_xlfn.CHOOSEROWS(Size_Table,1),0)),1)<>0,TRUE),\""ERR\"")"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(Size_Table,1),IF('Data Sheet'!D14<>\""\"",_xlfn.CHOOSEROWS(Size_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)<>0,TRUE),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(PumpMaterial_Table,1),NOT(_xlfn.CHOOSEROWS(PumpMaterial_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(ShaftConfig_Table,1),NOT(_xlfn.CHOOSEROWS(ShaftConfig_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(ShaftMaterial_Table,1),NOT(_xlfn.CHOOSEROWS(ShaftMaterial_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(CasingMaterial_Table,1),(NOT(_xlfn.CHOOSEROWS(CasingMaterial_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0))*(TRUE),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(CasingDrain_Table,1),NOT(_xlfn.CHOOSEROWS(CasingDrain_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(CasingTaps_Table,1),NOT(_xlfn.CHOOSEROWS(CasingTaps_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(CasingGasket_Table,1),NOT(_xlfn.CHOOSEROWS(CasingGasket_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(FlangeConfig_Table,1),NOT(_xlfn.CHOOSEROWS(FlangeConfig_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(CasingRings_Table,1),NOT(_xlfn.CHOOSEROWS(CasingRings_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(CasingMounting_Table,1),NOT(_xlfn.CHOOSEROWS(CasingMounting_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(SealChamberConfig_Table,1),NOT(_xlfn.CHOOSEROWS(SealChamberConfig_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(ShippingGasket_Table,1),NOT(_xlfn.CHOOSEROWS(ShippingGasket_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""{\""Not Required\"";\""Required\""}"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(ImpellerBalance_Table,1),NOT(_xlfn.CHOOSEROWS(ImpellerBalance_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(ImpellerMaterial_Table,1),(NOT(_xlfn.CHOOSEROWS(ImpellerMaterial_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0)),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(ImpellerRing_Table,1),NOT(_xlfn.CHOOSEROWS(ImpellerRing_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))"", ""_xlfn.TOCOL(_xlfn._xlws.FILTER(_xlfn.CHOOSEROWS(BaseplateType_Table,1),NOT(_xlfn.CHOOSEROWS(BaseplateType_Table,MATCH('Data Sheet'!D14,SeriesOptions,0)+1)=0),\""\""))""]",0,[],0,[],0
Dean Data Sheet Rev 2.xlsm,DEAN,Baseplate Numbering,hidden,9,xl/worksheets/sheet9.xml,B2:AH1552,3085,"[""Table29[Baseplate Type]"", ""Table31[Drip Pan]"", ""Table35[Alignment Lugs]"", ""Table33[Lifting Lugs]"", ""Table34[Levelling Screws]"", ""Table37[Grounding Lug]"", ""Table38[Grout Hole]"", ""Table42[Isolation Pads]"", ""Table41[Stilts]"", ""SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(BaseplateType_Table,1,1)),4),\""1\"",\""\"")"", ""\"":\""&SUBSTITUTE(ADDRESS(1,CELL(\""col\"",INDEX(BaseplateType_Table,1,COLUMNS(BaseplateType_Table))),4),\""1\"",\""\"")"", ""_xlfn.BYROW(Table124[[#This Row],[Permutation]], _xlfn.LAMBDA(_xlpm.arr, ROW(_xlpm.arr)-16))"", ""_xlfn.BASE(Table124[[#This Row],[Permutation]],36,3)"", ""_xlfn.BYROW(Table124[[#This Row],[Permutation]], _xlfn.LAMBDA(_xlpm.arr, ROW(_xlpm.arr)-16))"", ""_xlfn.BASE(Table124[[#This Row],[Permutation]],36,3)"", ""_xlfn.BYROW(Table124[[#This Row],[Permutation]], _xlfn.LAMBDA(_xlpm.arr, ROW(_xlpm.arr)-16))"", ""_xlfn.BASE(Table124[[#This Row],[Permutation]],36,3)"", ""_xlfn.BYROW(Table124[[#This Row],[Permutation]], _xlfn.LAMBDA(_xlpm.arr, ROW(_xlpm.arr)-16))"", ""_xlfn.BASE(Table124[[#This Row],[Permutation]],36,3)"", ""_xlfn.BYROW(Table124[[#This Row],[Permutation]], _xlfn.LAMBDA(_xlpm.arr, ROW(_xlpm.arr)-16))""]",0,[],0,[],1
Dean Data Sheet Rev 2.xlsm,DEAN,Motor Numbering,hidden,10,xl/worksheets/sheet10.xml,B2:BB114100,21,"[""Table1885[[#Headers],[Motor]]"", ""Table83[[#Headers],[Motor Control]]"", ""Table2687[[#Headers],[Motor Voltage]]"", ""MotorEnclosure[[#Headers],[Motor Enclosure]]"", ""MotorEfficiency[[#Headers],[Motor Efficiency]]"", ""Table2888[[#Headers],[Motor Brand]]"", ""Table5491[[#Headers],[C-Face]]"", ""Table1885[Motor]"", ""Table83[Motor Control]"", ""Table2687[Motor Voltage]"", ""MotorEnclosure[Motor Enclosure]"", ""MotorEfficiency[Motor Efficiency]"", ""Table2888[Motor Brand]"", ""Table5491[C-Face]"", ""IF(COUNTA('Data Sheet'!G32:G38)=0,Table110[[Frame Size]:[Efficiency]],_xlfn._xlws.FILTER(Table110[[Frame Size]:[Efficiency]],(ISNUMBER(SEARCH('Data Sheet'!G36,Table110[Frame Size])))*IF('Data Sheet'!G33=\""\"",TRUE,(Table110[Rated Speed]='Data Sheet'!G33&\"" RPM\""))*IF('Data Sheet'!G32=\""\"",TRUE,(Table110[Rated Power]='Data Sheet'!G32))*IF('Data Sheet'!G34=\""\"",TRUE,(Table110[Voltage]='Data Sheet'!G34))*IF('Data Sheet'!G35=\""\"",TRUE,(Table110[Phase/Frequency]=IF(LEFT(RIGHT('Data Sheet'!G35,LEN('Data Sheet'!G35)-FIND(\""/\"",'Data Sheet'!G35)),1)=\""(\"",MID('Data Sheet'!G35,FIND(\""/\"",'Data Sheet'!G35)+2,5),RIGHT('Data Sheet'!G35,LEN('Data Sheet'!G35)-FIND(\""/\"",'Data Sheet'!G35)))))*IF('Data Sheet'!G37=\""\"",TRUE,(Table110[Enclosure]='Data Sheet'!G37))*IF('Data Sheet'!G38=\""\"",TRUE,(Table110[Efficiency]='Data Sheet'!G38)),\""Invalid Selections!\""))"", ""_xlfn.UNIQUE(_xlfn.TEXTSPLIT(_xlfn.TEXTJOIN(\"", \"", TRUE, _xlfn.UNIQUE(_xlfn.CHOOSECOLS(_xlfn.ANCHORARRAY(U21),1))), , \"", \""))"", ""LEFT(_xlfn.UNIQUE(_xlfn.CHOOSECOLS(_xlfn.ANCHORARRAY($U$21),2)),FIND(\"" \"",_xlfn.UNIQUE(_xlfn.CHOOSECOLS(_xlfn.ANCHORARRAY($U$21),2)))-1)"", ""_xlfn.UNIQUE(_xlfn.CHOOSECOLS(_xlfn.ANCHORARRAY($U$21),3))"", ""_xlfn.UNIQUE(_xlfn.CHOOSECOLS(_xlfn.ANCHORARRAY($U$21),4))"", ""IF(ISNUMBER(SEARCH(\""/\"",_xlfn.UNIQUE(_xlfn.CHOOSECOLS(_xlfn.ANCHORARRAY($U$21),5)))),\""3/(\""&_xlfn.UNIQUE(_xlfn.CHOOSECOLS(_xlfn.ANCHORARRAY($U$21),5))&\"")\"",\""3/\""&_xlfn.UNIQUE(_xlfn.CHOOSECOLS(_xlfn.ANCHORARRAY($U$21),5)))""]",2,"[""U20:AB20"", ""AD20:AI20""]",0,[],3
